# hex,owner,ladd — generated by scripts/gen-le-aircraft.py, do not edit
a09c14,STATE OF ALASKA  DEPT OF PUBLIC SAFETY ALASKA WI,1
a09cfc,VOLUSIA SHERIFFS OFFICE,0
a09d5d,CALIFORNIA HIGHWAY PATROL  OFFICE OF AIR OPERATI,0
a09de9,PUERTO RICO POLICE DEPT,1
a0a1eb,LAKE COUNTY SHERIFFS OFFICE,0
a0a36d,CALIFORNIA HIGHWAY PATROL,0
a0a7b0,CITY OF ATLANTA POLICE,0
a0aa61,US CUSTOMS & BORDER PROTECTION  OFFICE OF AIR &,0
a0abb1,SPARTANBURG COUNTY SHERIFFS OFFICE,0
a0abbc,GEORGIA STATE PATROL,0
a0acf4,MARICOPA COUNTY SHERIFFS OFFICE  ATTN AVIATION D,0
a0ae18,US CUSTOMS & BORDER PROTECTION  OFFICE OF AIR &,0
a0af01,DEPARTMENT OF HOMELAND SECURITY,0
a0b1cf,US CUSTOMS & BORDER PROTECTION  OFFICE OF AIR &,0
a0b32a,GEORGIA STATE PATROL,0
a0b59f,VOLUSIA SHERIFFS OFFICE,0
a0b5a2,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,0
a0b651,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,0
a0b693,STATE OF ALASKA  DEPARTMENT OF PUBLIC SAFETY  AC,1
a0b702,TEXAS DEPARTMENT OF PUBLIC SAFETY,0
a0b721,VENTURA COUNTY SHERIFFS DEPARTMENT,0
a0b93d,UNITED STATES CUSTOMS AND BORDER PROTECTION,0
a0bcf4,UNITED STATES CUSTOMS AND BORDER PROTECTION  OFF,0
a0bdfa,PUERTO RICO POLICE DEPT,0
a0bf9a,SUFFOLK COUNTY POLICE PILOTS ASSOC,0
a0c0ab,UNITED STATES CUSTOMS AND BORDER PROTECTION,0
a0c1b1,CITY OF SAN JOSE-POLICE DEPARTMENT,0
a0c462,US CUSTOMS & BORDER PROTECTION  OFFICE OF AIR &,0
a0cb78,ANNE ARUNDEL COUNTY POLICE DEPT,0
a0cea3,MONTANA HIGHWAY PATROL  303 N ROBERTS,0
a0cf2f,ANNE ARUNDEL COUNTRY POLICE,0
a0cf3b,CITRUS COUNTY SHERIFFS OFFICE,0
a0cf44,DEPARTMENT OF HOMELAND SECURITY,0
a0d0d5,CITY OF DALLAS POLICE DEPARTMENT,0
a0d0f8,CITY OF DALLAS POLICE DEPARTMENT,0
a0d2e6,SALT RIVER POLICE DEPARTMENT,0
a0d611,CALIFORNIA HIGHWAY PATROL  OFFICE OF AIR OPERATI,0
a0d69d,ANNE ARUNDEL COUNTY POLICE DEPARTMENT,0
a0d6e8,JACKSON COUNTY SHERIFFS DEPT,0
a0da53,PUTNAM COUNTY SHERIFF'S OFFICE,0
a0da54,ANNE ARUNDEL COUNTY POLICE DEPARTMENT,0
a0dcda,COCONINO COUNTY SHERIFFS OFFICE,0
a0de0b,ANNE ARUNDEL COUNTY POLICE DEPT,0
a0de56,JACKSON COUNTY SHERIFFS DEPT,0
a0e07c,AK-CHIN POLICE DEPARTMENT,0
a0e136,CALIFORNIA HIGHWAY PATROL  OFFICE OF AIR OPERATI,0
a0e1c2,ANNE ARUNDEL COUNTY POLICE DEPT,0
a0e579,PUERTO RICO POLICE DEPT,0
a0e5ce,LOUISIANA STATE POLICE,0
a0e760,CITY OF HOUSTON POLICE DEPT,0
a0e834,PALM BEACH COUNTY SHERIFFS OFFICE,0
a0e899,HENRY COUNTY SHERIFF'S OFFICE,0
a0e8e6,COLLIER COUNTY SHERIFFS OFFICE,0
a0e93d,GREENVILLE COUNTY SHERIFFS OFFICE,0
a0e985,LOUISIANA STATE POLICE,0
a0ec5b,CALIFORNIA HIGHWAY PATROL,0
a0f0f3,STATE OF NEW YORK  DIVISION OF STATE POLICE,1
a0f740,DEPARTMENT OF HOMELAND SECURITY,0
a0f9b2,DEPARTMENT OF HOMELAND SECURITY,0
a0f9d9,CALIFORNIA HIGHWAY PATROL,0
a0fabe,STATE OF MICHIGAN  DEPARTMENT OF STATE POLICE,0
a1016b,MEMPHIS POLICE DEPARTMENT  AVIATION UNIT,0
a103ac,CUSTOMS AND BORDER PROTECTION,0
a10aec,STATE OF MONTANA  DEPT OF JUSTICE  MONTANA HIGHW,0
a10bb2,ALACHUA COUNTY SHERIFFS OFFICE,0
a10be1,DEPARTMENT OF HOMELAND SECURITY,0
a10c6c,CALIFORNIA HIGHWAY PATROL,0
a10cf8,PUERTO RICO POLICE DEPT,0
a11466,SALT RIVER POLICE DEPARTMENT,0
a11791,STATE OF OHIO DEPT OF PUBLIC SAFETY  OHIO STATE,0
a11872,NEW YORK STATE POLICE  AVIATION UNIT,1
a11b2f,HENNEPIN COUNTY SHERIFFS OFFICE,0
a11de3,MONTGOMERY COUNTY SHERIFFS OFFICE,0
a11e2d,SUFFOLK COUNTY POLICE DEPT,0
a11e82,STATE OF IOWA - IOWA STATE PATROL,0
a120a0,US DEPARTMENT OF HOMELAND SECURITY  US CUSTOMS &,0
a12152,JEFFERSON COUNTY SHERIFFS OFFICE,0
a121a0,JEFFERSON COUNTY SHERIFFS OFFICE,0
a1222f,SACRAMENTO COUNTY SHERIFF DEPARTMENT,0
a1228a,JEFFERSON COUNTY SHERIFFS OFFICE,0
a122f2,JEFFERSON COUNTY SHERIFFS OFFICE,0
a123f3,TEXAS DEPARTMENT OF PUBLIC SAFETY,0
a1246b,DEPT OF HOMELAND SECURITY,0
a1250f,CALIFORNIA HIGHWAY PATROL,0
a127e1,OREGON STATE POLICE,0
a1299c,SEMINOLE COUNTY SHERIFFS OFFICE,0
a129a7,NEW YORK STATE POLICE,1
a129ab,MICHIGAN STATE POLICE  AVIATION UNIT,0
a12b3e,NEBRASKA STATE PATROL,0
a12c41,SEMINOLE COUNTY SHERIFFS OFFICE,0
a12c7d,CALIFORNIA HIGHWAY PATROL,0
a12c8b,SACRAMENTO COUNTY SHERIFFS OFFICE,0
a12d53,SEMINOLE COUNTY SHERIFFS OFFICE,0
a12d54,SACRAMENTO COUNTY SHERIFF DEPARTMENT,0
a1310a,SEMINOLE COUNTY SHERIFFS OFFICE,1
a13115,WEST VIRGINIA STATE POLICE,0
a13477,PUERTO RICO POLICE DEPT,0
a134cc,DIVISION OF PUBLIC SAFETY/W VIRGINIA STATE POLIC,0
a1382e,SALT RIVER POLICE DEPARTMENT,0
a13883,DIVISION OF PUBLIC SAFETY/W VIRGINIA STATE POLIC,0
a13be5,SALT RIVER POLICE DEPARTMENT,0
a13ed3,FLORENCE COUNTY SHERIFF DEPARTMENT,0
a13f10,STATE OF OHIO  DEPARTMENT OF PUBLIC SAFETY  OHIO,0
a13f88,TENNESSEE DEPT OF SAFTEY & HOMELAND SECURITY,0
a13ff1,STATE OF NEW YORK  DIVISION OF STATE POLICE,1
a1420a,DEPARTMENT OF HOMELAND SECURITY,0
a1423f,ST CLAIR COUNTY SHERIFFS DEPT,0
a1441c,GWINNETT COUNTY POLICE DEPT,0
a145f7,ORANGE COUNTY SHERIFFS DEPARTMENT,0
a14962,PICKENS COUNTY SHERIFFS OFFICE,0
a14b70,JACKSON COUNTY SHERIFFS OFFICE,0
a14bd6,U S DEPT OF HOMELAND SECURITY  CUSTOMS & BORDER,1
a14d65,ORANGE COUNTY SHERIFF'S DEPARTMENT  C/O CORONER,0
a14dc8,WASHINGTON COUNTY SHERIFF'S OFFIICE,0
a150ff,DEPARTMENT OF HOMELAND SECURITY,0
a154d3,ORANGE COUNTY SHERIFF'S DEPARTMENT,0
a155ac,SANTA BARBARA COUNTY SHERIFFS DEPT,0
a155bb,PLACER COUNTY SHERIFFS DEPARTMENT,0
a155c1,PLACER COUNTY SHERIFF,0
a156fb,US DEPARTMENT OF HOMELAND SECURITY  US CUSTOMS &,0
a157b3,CALIFORNIA HIGHWAY PATROL,0
a1588a,ORANGE COUNTY SHERIFFS DEPT,0
a15a0e,PIMA COUNTY BOARD OF SUPERVISORS  SHERIFFS DEPT,0
a15ab2,US DEPARTMENT OF HOMELAND SECURITY  US CUSTOMS &,0
a15bf6,SALT RIVER POLICE DEPARTMENT,0
a15c88,DEPARTMENT OF HOMELAND SECURITY,0
a15d4b,PUTNAM COUNTY SHERIFF'S OFICE,1
a15f21,CALIFORNIA HIGHWAY PATROL,0
a1611a,CONSTABLE WILLIAM H,0
a162e6,TULARE COUNTY SHERIFF,0
a1668f,STATE OF OHIO DEPT OF PUBLIC SAFETY  OHIO STATE,0
a16770,NEW YORK STATE POLICE,1
a168e8,OKLA DEPT OF PUBLIC SAFETY OKLA HWY PATROL,0
a16aed,DALE COUNTY SHERIFFS OFFICE,0
a16c52,NORTH CAROLINA DEPARTMENT OF PUBLIC SAFETY/EMG M,0
a16d1e,MARYLAND NATURAL RESOURCES POLICE,0
a16da1,TEXAS DEPT OF PUBLIC SAFETY,1
a16e5d,WASHOE COUNTY SHERIFFS OFFICE,0
a16f99,DEPARTMENT OF HOMELAND SECURITY  CUSTOMS AND BOR,0
a17009,NORTH CAROLINA DEPARTMENT OF PUBLIC SAFETY/EMG M,0
a17016,DEPARTMENT OF HOMELAND SECURITY,0
a17056,CALIFORNIA HIGHWAY PATROL,0
a17385,CANADIAN COUNTY SHERIFFS OFFICE,0
a173c0,NORTH CAROLINA DEPARTMENT OF PUBLIC SAFETY/EMG M,0
a17499,SALT RIVER POLICE DEPARTMENT,0
a174ee,INDIANA STATE POLICE,1
a17777,NORTH CAROLINA DEPARTMENT OF PUBLIC SAFETY/EMG M,0
a17850,SALT RIVER POLICE DEPARTMENT,0
a17e66,WASHINGTON STATE PATROL AVIATION,0
a17e78,AK-CHIN POLICE DEPARTMENT,0
a17e8e,DEPARTMENT OF HOMELAND SECURITY,0
a180e6,CORONA POLICE AERO SQUADRON INC,0
a18164,DEPARTMENT OF HOMELAND SECURITY,0
a182ab,CITY OF PHOENIX POLICE DEPT,0
a18375,CITY OF COLORADO SPRINGS POLICE DEPARTMENT,0
a18580,DEPARTMENT OF HOMELAND SECURITY,0
a18618,COFFEE COUNTY SHERIFFS OFFICE,0
a186a0,CALIFORNIA HIGHWAY PATROL,0
a189cf,COFFEE COUNTY SHERIFF OFFICE,0
a18e86,NEW JERSEY STATE POLICE  HELICOPTER BUREAU,0
a18ee5,PINELLAS COUNTY SHERIFF'S OFFICE,0
a19148,NEW YORK STATE POLICE  AVIATION UNIT,1
a192c0,OKLAHOMA DEPARTMENT OF PUBLIC SAFETY,1
a19346,NEW YORK STATE POLICE  AVIATION UNIT,1
a19758,COLORADO STATE PATROL,0
a19a2e,CALIFORNIA HIGHWAY PATROL,0
a19aba,NEW YORK CITY POLICE AVN UNIT HGNR 4,0
a19af4,MADISONVILLE POLICE DEPARTMENT,0
a19b0f,COLORADO STATE PATROL,0
a19b20,TWIN FALLS COUNTY SHERIFFS OFFICE,0
a19de5,DEPARTMENT OF CALIFORNIA HIGHWAY PATROL,0
a19e49,CITY OF MESA POLICE DEPT  AVIATION DEPT,0
a19e7e,ALABAMA DEPT OF PUBLIC SAFETY,0
a19ec6,COLORADO STATE PATROL,0
a19f67,DEPARTMENT OF HOMELAND SECURITY,0
a1a200,CITY OF MESA POLICE DEPT/AVIATION DEPT,0
a1a27d,COLORADO STATE PATROL,0
a1a528,PASCO SHERIFFS OFFICE,1
a1a595,COLLIER COUNTY SHERIFFS OFFICE,0
a1a5df,NEW YORK CITY POLICE AVN UNIT HGNR 4,0
